"date","city","study_permit_inflow_proxy","source"
2018-04-01,"London",735,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-05-01,"London",510,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-06-01,"London",620,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-07-01,"London",480,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-08-01,"London",2220,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-09-01,"London",620,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-10-01,"London",270,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-11-01,"London",480,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-12-01,"London",1350,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-01-01,"London",550,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-02-01,"London",280,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-03-01,"London",395,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-04-01,"London",890,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-05-01,"London",535,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-06-01,"London",390,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-07-01,"London",625,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-08-01,"London",3000,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-09-01,"London",855,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-10-01,"London",255,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-11-01,"London",235,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-12-01,"London",1400,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-01-01,"London",395,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-02-01,"London",255,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-03-01,"London",225,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-04-01,"London",455,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-05-01,"London",860,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-06-01,"London",505,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-07-01,"London",325,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-08-01,"London",960,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-09-01,"London",1355,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-10-01,"London",390,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-11-01,"London",300,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-12-01,"London",595,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-01-01,"London",510,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-02-01,"London",375,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-03-01,"London",495,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-04-01,"London",995,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-05-01,"London",575,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-06-01,"London",765,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-07-01,"London",795,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-08-01,"London",2460,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-09-01,"London",1435,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-10-01,"London",480,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-11-01,"London",375,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-12-01,"London",1610,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-01-01,"London",720,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-02-01,"London",550,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-03-01,"London",450,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-04-01,"London",1300,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-05-01,"London",685,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-06-01,"London",660,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-07-01,"London",720,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-08-01,"London",3275,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-09-01,"London",1120,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-10-01,"London",330,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-11-01,"London",465,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-12-01,"London",2690,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-01-01,"London",590,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-02-01,"London",425,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-03-01,"London",500,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-04-01,"London",2000,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-05-01,"London",360,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-06-01,"London",585,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-07-01,"London",1035,"student_permits_city_proxy_2015_2025_monthly.csv"
