"date","city","housing_starts","series_label","source"
2016-02-01,"London",1.554,"Total units","3410015601-eng.csv"
2016-03-01,"London",1.365,"Total units","3410015601-eng.csv"
2016-04-01,"London",2.158,"Total units","3410015601-eng.csv"
2016-05-01,"London",6.139,"Total units","3410015601-eng.csv"
2016-06-01,"London",5.508,"Total units","3410015601-eng.csv"
2016-07-01,"London",1.866,"Total units","3410015601-eng.csv"
2016-08-01,"London",4.586,"Total units","3410015601-eng.csv"
2016-09-01,"London",2.027,"Total units","3410015601-eng.csv"
2016-10-01,"London",4.913,"Total units","3410015601-eng.csv"
2016-11-01,"London",2.616,"Total units","3410015601-eng.csv"
2016-12-01,"London",2.555,"Total units","3410015601-eng.csv"
2017-01-01,"London",7.048,"Total units","3410015601-eng.csv"
2017-02-01,"London",3.314,"Total units","3410015601-eng.csv"
2017-03-01,"London",3.361,"Total units","3410015601-eng.csv"
2017-04-01,"London",2.132,"Total units","3410015601-eng.csv"
2017-05-01,"London",2.657,"Total units","3410015601-eng.csv"
2017-06-01,"London",5.881,"Total units","3410015601-eng.csv"
2017-07-01,"London",2.36,"Total units","3410015601-eng.csv"
2017-08-01,"London",4.26,"Total units","3410015601-eng.csv"
2017-09-01,"London",4.068,"Total units","3410015601-eng.csv"
2017-10-01,"London",2.284,"Total units","3410015601-eng.csv"
2017-11-01,"London",7.598,"Total units","3410015601-eng.csv"
2017-12-01,"London",2.511,"Total units","3410015601-eng.csv"
2018-01-01,"London",1.521,"Total units","3410015601-eng.csv"
2018-02-01,"London",2.066,"Total units","3410015601-eng.csv"
2018-03-01,"London",2.173,"Total units","3410015601-eng.csv"
2018-04-01,"London",4.47,"Total units","3410015601-eng.csv"
2018-05-01,"London",1.975,"Total units","3410015601-eng.csv"
2018-06-01,"London",7.008,"Total units","3410015601-eng.csv"
2018-07-01,"London",2.538,"Total units","3410015601-eng.csv"
2018-08-01,"London",0.985,"Total units","3410015601-eng.csv"
2018-09-01,"London",2.75,"Total units","3410015601-eng.csv"
2018-10-01,"London",2.635,"Total units","3410015601-eng.csv"
2018-11-01,"London",2.752,"Total units","3410015601-eng.csv"
2018-12-01,"London",1.732,"Total units","3410015601-eng.csv"
2019-01-01,"London",3.758,"Total units","3410015601-eng.csv"
2019-02-01,"London",1.049,"Total units","3410015601-eng.csv"
2019-03-01,"London",2.456,"Total units","3410015601-eng.csv"
2019-04-01,"London",5.24,"Total units","3410015601-eng.csv"
2019-05-01,"London",1.97,"Total units","3410015601-eng.csv"
2019-06-01,"London",5.11,"Total units","3410015601-eng.csv"
2019-07-01,"London",2.93,"Total units","3410015601-eng.csv"
2019-08-01,"London",6.532,"Total units","3410015601-eng.csv"
2019-09-01,"London",3.339,"Total units","3410015601-eng.csv"
2019-10-01,"London",3.073,"Total units","3410015601-eng.csv"
2019-11-01,"London",2.593,"Total units","3410015601-eng.csv"
2019-12-01,"London",2.604,"Total units","3410015601-eng.csv"
2020-01-01,"London",4.682,"Total units","3410015601-eng.csv"
2020-02-01,"London",2.637,"Total units","3410015601-eng.csv"
2020-03-01,"London",4.243,"Total units","3410015601-eng.csv"
2020-04-01,"London",3.489,"Total units","3410015601-eng.csv"
2020-05-01,"London",1.587,"Total units","3410015601-eng.csv"
2020-06-01,"London",2.78,"Total units","3410015601-eng.csv"
2020-07-01,"London",3.311,"Total units","3410015601-eng.csv"
2020-08-01,"London",2.471,"Total units","3410015601-eng.csv"
2020-09-01,"London",4.499,"Total units","3410015601-eng.csv"
2020-10-01,"London",3.522,"Total units","3410015601-eng.csv"
2020-11-01,"London",15.231,"Total units","3410015601-eng.csv"
2020-12-01,"London",2.904,"Total units","3410015601-eng.csv"
2021-01-01,"London",3.435,"Total units","3410015601-eng.csv"
2021-02-01,"London",9.092,"Total units","3410015601-eng.csv"
2021-03-01,"London",3.298,"Total units","3410015601-eng.csv"
2021-04-01,"London",9.443,"Total units","3410015601-eng.csv"
2021-05-01,"London",6.198,"Total units","3410015601-eng.csv"
2021-06-01,"London",10.631,"Total units","3410015601-eng.csv"
2021-07-01,"London",7.015,"Total units","3410015601-eng.csv"
2021-08-01,"London",4.546,"Total units","3410015601-eng.csv"
2021-09-01,"London",4.921,"Total units","3410015601-eng.csv"
2021-10-01,"London",2.726,"Total units","3410015601-eng.csv"
2021-11-01,"London",3.239,"Total units","3410015601-eng.csv"
2021-12-01,"London",3.203,"Total units","3410015601-eng.csv"
2022-01-01,"London",4.914,"Total units","3410015601-eng.csv"
2022-02-01,"London",2.318,"Total units","3410015601-eng.csv"
2022-03-01,"London",2.755,"Total units","3410015601-eng.csv"
2022-04-01,"London",2.656,"Total units","3410015601-eng.csv"
2022-05-01,"London",5.938,"Total units","3410015601-eng.csv"
2022-06-01,"London",2.871,"Total units","3410015601-eng.csv"
2022-07-01,"London",3.505,"Total units","3410015601-eng.csv"
2022-08-01,"London",1.815,"Total units","3410015601-eng.csv"
2022-09-01,"London",3.547,"Total units","3410015601-eng.csv"
2022-10-01,"London",4.425,"Total units","3410015601-eng.csv"
2022-11-01,"London",3.541,"Total units","3410015601-eng.csv"
2022-12-01,"London",2.51,"Total units","3410015601-eng.csv"
2023-01-01,"London",4.08,"Total units","3410015601-eng.csv"
2023-02-01,"London",0.772,"Total units","3410015601-eng.csv"
2023-03-01,"London",2.444,"Total units","3410015601-eng.csv"
2023-04-01,"London",2.643,"Total units","3410015601-eng.csv"
2023-05-01,"London",2.836,"Total units","3410015601-eng.csv"
2023-06-01,"London",2.82,"Total units","3410015601-eng.csv"
2023-07-01,"London",1.596,"Total units","3410015601-eng.csv"
2023-08-01,"London",1.756,"Total units","3410015601-eng.csv"
2023-09-01,"London",2.028,"Total units","3410015601-eng.csv"
2023-10-01,"London",2.425,"Total units","3410015601-eng.csv"
2023-11-01,"London",2.007,"Total units","3410015601-eng.csv"
2023-12-01,"London",0.884,"Total units","3410015601-eng.csv"
2024-01-01,"London",2.378,"Total units","3410015601-eng.csv"
2024-02-01,"London",2.71,"Total units","3410015601-eng.csv"
2024-03-01,"London",6.699,"Total units","3410015601-eng.csv"
2024-04-01,"London",5.121,"Total units","3410015601-eng.csv"
2024-05-01,"London",1.786,"Total units","3410015601-eng.csv"
2024-06-01,"London",2.222,"Total units","3410015601-eng.csv"
2024-07-01,"London",7.214,"Total units","3410015601-eng.csv"
2024-08-01,"London",5.566,"Total units","3410015601-eng.csv"
2024-09-01,"London",2.332,"Total units","3410015601-eng.csv"
2024-10-01,"London",6.153,"Total units","3410015601-eng.csv"
2024-11-01,"London",2.203,"Total units","3410015601-eng.csv"
2024-12-01,"London",5.564,"Total units","3410015601-eng.csv"
2016-01-01,"Ottawa-Gatineau",4.836,"Total units","3410015601-eng.csv"
2016-02-01,"Ottawa-Gatineau",3.344,"Total units","3410015601-eng.csv"
