EN_YEAR,EN_QUARTER,EN_MONTH,TOTAL,EN_DLI_PROVINCE_TERRITORY,EN_ADMIN_TYPE,EN_DESIGNATED_LEARNING_INSTITUTION
2019,Q4,Nov,105,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2015,Q3,Jul,15,Ontario,Public Institution,La Cité collégiale
2025,Q2,May,15,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2024,Q4,Dec,10,Ontario,Private Institution,Anderson College
2019,Q1,Jan,--,Ontario,Private Institution,English Encounters Inc
2018,Q2,Apr,1265,Ontario,Public Institution,St Clair College
2024,Q2,May,415,Ontario,Public Institution,Humber College Institute of Technology and Advanced Learning Humber Lakeshore Campus
2021,Q1,Jan,65,Ontario,Public Institution,Sault College
2025,Q4,Dec,30,Ontario,Private Institution,Toronto Metropolitan University International College
2024,Q3,Jul,80,Ontario,Public Institution,Algoma University
2024,Q4,Oct,130,Ontario,Public Institution,McMaster University
2016,Q4,Nov,280,Ontario,Public Institution,University of Toronto
2022,Q3,Sep,1350,Ontario,Public Institution,Centennial College
2019,Q4,Dec,1220,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2015,Q1,Feb,15,Ontario,Private Institution,ILAC International College
2025,Q4,Nov,530,Ontario,Public Institution,York University
2023,Q2,Jun,5,Ontario,Private Institution,Tyndale University
2019,Q2,Apr,55,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2020,Q2,Apr,--,Ontario,Private Institution,University of St Michael's college
2022,Q2,Apr,--,Ontario,Private Institution,Academy of Learning College - Hamilton
2022,Q2,Apr,--,Ontario,Public Institution,Fanshawe College at ILAC International College
2021,Q1,Mar,--,Ontario,Private Institution,Certcana Systems Institute
2021,Q1,Jan,--,Ontario,Private Institution,Tyndale University
2023,Q2,May,--,Ontario,Private Institution,Cambrian College of Applied Arts and Technology at Hanson College of Business Health and Technology
2021,Q4,Oct,--,Ontario,Private Institution,Ontario College of Business and Technology
2025,Q3,Jul,--,Ontario,Private Institution,Cambrian College of Applied Arts and Technology at Hanson College of Business Health and Technology
2022,Q1,Feb,--,Ontario,Private Institution,Southern Ontario Dental College
