date,city,study_permit_inflow_proxy
2019-09-01,Oshawa,205
2019-09-01,Ottawa,1195
2019-09-01,Toronto,5490
2019-09-01,Windsor,315
2019-10-01,Guelph,40
2019-10-01,Hamilton,175
2019-10-01,Kitchener-Cambridge-Waterloo,340
2019-10-01,London,255
2019-10-01,Oshawa,45
2019-10-01,Ottawa,350
2019-10-01,Toronto,1955
2019-10-01,Windsor,45
2019-11-01,Guelph,15
2019-11-01,Hamilton,135
2019-11-01,Kitchener-Cambridge-Waterloo,300
2019-11-01,London,235
2019-11-01,Oshawa,40
2019-11-01,Ottawa,275
2019-11-01,Toronto,1595
2019-11-01,Windsor,50
2019-12-01,Guelph,55
2019-12-01,Hamilton,760
2019-12-01,Kitchener-Cambridge-Waterloo,2100
2019-12-01,London,1400
2019-12-01,Oshawa,320
2019-12-01,Ottawa,860
2019-12-01,Toronto,5915
2019-12-01,Windsor,805
2020-01-01,Guelph,45
2020-01-01,Hamilton,235
2020-01-01,Kitchener-Cambridge-Waterloo,745
2020-01-01,London,395
2020-01-01,Oshawa,65
2020-01-01,Ottawa,425
2020-01-01,Toronto,2415
2020-01-01,Windsor,140
2020-02-01,Guelph,10
2020-02-01,Hamilton,100
2020-02-01,Kitchener-Cambridge-Waterloo,255
2020-02-01,London,255
2020-02-01,Oshawa,40
2020-02-01,Ottawa,190
2020-02-01,Toronto,1300
2020-02-01,Windsor,30
2020-03-01,Guelph,15
2020-03-01,Hamilton,95
2020-03-01,Kitchener-Cambridge-Waterloo,220
2020-03-01,London,225
2020-03-01,Oshawa,35
2020-03-01,Ottawa,200
2020-03-01,Toronto,1210
2020-03-01,Windsor,35
2020-04-01,Guelph,35
2020-04-01,Hamilton,235
2020-04-01,Kitchener-Cambridge-Waterloo,640
2020-04-01,London,455
2020-04-01,Oshawa,45
2020-04-01,Ottawa,495
2020-04-01,Toronto,2630
2020-04-01,Windsor,100
2020-05-01,Guelph,70
2020-05-01,Hamilton,490
2020-05-01,Kitchener-Cambridge-Waterloo,1090
2020-05-01,London,860
2020-05-01,Oshawa,130
2020-05-01,Ottawa,800
2020-05-01,Toronto,4600
2020-05-01,Windsor,110
2020-06-01,Guelph,35
2020-06-01,Hamilton,295
2020-06-01,Kitchener-Cambridge-Waterloo,680
2020-06-01,London,505
2020-06-01,Oshawa,90
2020-06-01,Ottawa,460
2020-06-01,Toronto,2870
2020-06-01,Windsor,65
2020-07-01,Guelph,30
2020-07-01,Hamilton,240
2020-07-01,Kitchener-Cambridge-Waterloo,470
2020-07-01,London,325
2020-07-01,Oshawa,45
2020-07-01,Ottawa,405
2020-07-01,Toronto,2115
2020-07-01,Windsor,45
2020-08-01,Guelph,85
2020-08-01,Hamilton,750
2020-08-01,Kitchener-Cambridge-Waterloo,1630
2020-08-01,London,960
2020-08-01,Oshawa,150
2020-08-01,Ottawa,1080
2020-08-01,Toronto,6020
2020-08-01,Windsor,125
2020-09-01,Guelph,100
2020-09-01,Hamilton,915
2020-09-01,Kitchener-Cambridge-Waterloo,1745
2020-09-01,London,1355
2020-09-01,Oshawa,245
2020-09-01,Ottawa,1445
2020-09-01,Toronto,7055
2020-09-01,Windsor,345
2020-10-01,Guelph,25
2020-10-01,Hamilton,165
2020-10-01,Kitchener-Cambridge-Waterloo,395
2020-10-01,London,390
2020-10-01,Oshawa,55
2020-10-01,Ottawa,340
2020-10-01,Toronto,1945
2020-10-01,Windsor,125
2020-11-01,Guelph,40
2020-11-01,Hamilton,145
2020-11-01,Kitchener-Cambridge-Waterloo,415
2020-11-01,London,300
2020-11-01,Oshawa,45
2020-11-01,Ottawa,340
2020-11-01,Toronto,1640
2020-11-01,Windsor,45
2020-12-01,Guelph,45
2020-12-01,Hamilton,245
2020-12-01,Kitchener-Cambridge-Waterloo,700
2020-12-01,London,595
2020-12-01,Oshawa,130
2020-12-01,Ottawa,545
2020-12-01,Toronto,2955
2020-12-01,Windsor,125
2021-01-01,Guelph,65
2021-01-01,Hamilton,245
2021-01-01,Kitchener-Cambridge-Waterloo,935
2021-01-01,London,510
2021-01-01,Oshawa,100
2021-01-01,Ottawa,595
2021-01-01,Toronto,2790
2021-01-01,Windsor,190
2021-02-01,Guelph,35
2021-02-01,Hamilton,185
